의원명,정당
강경숙,조국혁신당
강대식,국민의힘
강득구,더불어민주당
강명구,국민의힘
강민국,국민의힘
강선영,국민의힘
강선우,더불어민주당
강승규,국민의힘
강준현,더불어민주당
고동진,국민의힘
고민정,더불어민주당
곽규택,국민의힘
곽상언,더불어민주당
구자근,국민의힘
권성동,국민의힘
권영세,국민의힘
권영진,국민의힘
권칠승,더불어민주당
권향엽,더불어민주당
김건,국민의힘
김교흥,더불어민주당
김기웅,국민의힘
김기표,더불어민주당
김기현,국민의힘
김남근,더불어민주당
김남희,더불어민주당
김대식,국민의힘
김도읍,국민의힘
김동아,더불어민주당
김문수,더불어민주당
김미애,국민의힘
김민석,더불어민주당
김민전,국민의힘
김병기,더불어민주당
김병주,더불어민주당
김상욱,더불어민주당
김상훈,국민의힘
김석기,국민의힘
김선교,국민의힘
김선민,조국혁신당
김성원,국민의힘
김성환,더불어민주당
김성회,더불어민주당
김소희,국민의힘
김승수,국민의힘
김승원,더불어민주당
김영배,더불어민주당
김영진,더불어민주당
김영호,더불어민주당
김영환,더불어민주당
김예지,국민의힘
김용만,더불어민주당
김용민,더불어민주당
김용태,국민의힘
김우영,더불어민주당
김원이,더불어민주당
김위상,국민의힘
김윤,더불어민주당
김윤덕,더불어민주당
김은혜,국민의힘
김장겸,국민의힘
김재섭,국민의힘
김재원,조국혁신당
김정재,국민의힘
김정호,더불어민주당
김종민,무소속
김종양,국민의힘
김주영,더불어민주당
김준혁,더불어민주당
김준형,조국혁신당
김태년,더불어민주당
김태선,더불어민주당
김태호,국민의힘
김한규,더불어민주당
김현,더불어민주당
김현정,더불어민주당
김형동,국민의힘
김희정,국민의힘
나경원,국민의힘
남인순,더불어민주당
노종면,더불어민주당
맹성규,더불어민주당
모경종,더불어민주당
문금주,더불어민주당
문대림,더불어민주당
문정복,더불어민주당
문진석,더불어민주당
민병덕,더불어민주당
민형배,더불어민주당
민홍철,더불어민주당
박균택,더불어민주당
박대출,국민의힘
박덕흠,국민의힘
박민규,더불어민주당
박범계,더불어민주당
박상웅,국민의힘
박상혁,더불어민주당
박선원,더불어민주당
박성민,국민의힘
박성준,더불어민주당
박성훈,국민의힘
박수민,국민의힘
박수영,국민의힘
박수현,더불어민주당
박용갑,더불어민주당
박은정,조국혁신당
박정,더불어민주당
박정하,국민의힘
박정현,더불어민주당
박정훈,국민의힘
박주민,더불어민주당
박준태,국민의힘
박지원,더불어민주당
박지혜,더불어민주당
박찬대,더불어민주당
박충권,국민의힘
박해철,더불어민주당
박형수,국민의힘
박홍근,더불어민주당
박홍배,더불어민주당
박희승,더불어민주당
배준영,국민의힘
배현진,국민의힘
백선희,조국혁신당
백승아,더불어민주당
백종헌,국민의힘
백혜련,더불어민주당
복기왕,더불어민주당
부승찬,더불어민주당
서명옥,국민의힘
서미화,더불어민주당
서범수,국민의힘
서삼석,더불어민주당
서영교,더불어민주당
서영석,더불어민주당
서왕진,조국혁신당
서일준,국민의힘
서지영,국민의힘
서천호,국민의힘
성일종,국민의힘
소병훈,더불어민주당
손명수,더불어민주당
손솔,진보당
송기헌,더불어민주당
송석준,국민의힘
송언석,국민의힘
송옥주,더불어민주당
송재봉,더불어민주당
신동욱,국민의힘
신성범,국민의힘
신영대,더불어민주당
신장식,조국혁신당
신정훈,더불어민주당
안규백,더불어민주당
안도걸,더불어민주당
안상훈,국민의힘
안철수,국민의힘
안태준,더불어민주당
안호영,더불어민주당
양문석,더불어민주당
